,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az,Xgg,Ygg,Zgg,Xaa,Yaa,Zaa
72,0.53,-0.22,0.27,99.5,-125.19,19.13,-11.08,-2.81,2.15,-0.71,0.01,0.67,0.24,574108.0,8368.0,W,-1.557226233,1.622497835,-1.218459426,2.500248095,2.923330308,-1.755675339,0.0,0.0,0.0,0.03465116279069768,-0.005348837209302325,-0.022325581395348838
73,0.53,-0.22,0.27,99.5,-125.19,19.13,-9.59,-3.04,1.19,-0.71,0.01,0.67,0.24,574151.0,8411.0,W,-1.852421305,1.194754834,-1.744894146,2.522299793,2.736132506,-1.766318697,-0.009047619047619047,0.0014285714285714286,-0.0016666666666666668,0.0,0.0,0.0
74,0.15,-0.16,0.2,99.5,-125.19,19.13,-9.59,-3.04,1.19,-0.71,0.01,0.67,0.24,574193.0,8453.0,W,-2.086413997,0.868424708,-2.177291645,2.596620115,2.664869597,-1.694457813,0.0,0.0,0.0,0.00853658536585365,0.0,-0.008292682926829267
75,0.15,-0.16,0.2,99.5,-125.19,19.13,-9.24,-3.04,0.85,-0.71,0.01,0.67,0.24,574234.0,8494.0,W,-2.194873601,0.819821987,-2.3016224,2.689777536,2.684115597,-1.555798549,0.0,0.0,0.0,-0.0028571428571428385,0.0,-0.0073809523809523795
76,0.15,-0.16,0.2,99.5,-125.19,19.13,-9.36,-3.04,0.54,-0.71,0.01,0.67,0.24,574276.0,8536.0,W,-2.088966418,1.302450964,-1.785548288,2.758651689,2.707999313,-1.333809948,0.0,0.0,0.0,0.0,0.0037499999999999977,0.003999999999999998
77,0.15,-0.16,0.2,99.5,-125.19,19.13,-9.36,-2.89,0.7,-0.71,0.01,0.67,0.24,574316.0,8576.0,W,-1.880766998,1.459089642,-1.617640729,2.791928069,2.708303364,-0.94048717,0.0,0.0,0.0,0.0,0.0,0.0
78,0.15,-0.16,0.2,146.44,-96.75,32.75,-9.36,-2.89,0.7,-0.71,0.01,0.67,0.24,574356.0,8616.0,W,-1.93292851,0.966696696,-2.409032876,2.800940681,2.721346797,-0.685463196,0.0,0.0,0.0,-0.0007142857142857414,0.0019047619047619065,0.0007142857142857149
79,0.15,-0.16,0.2,146.44,-96.75,32.75,-9.39,-2.81,0.73,-0.71,0.01,0.67,0.24,574398.0,8658.0,W,-2.276772542,0.131487209,2.861741381,2.799317711,2.759293056,-0.754897343,-0.005121951219512195,0.004634146341463414,-0.003414634146341464,0.0,0.0,0.0
80,-0.06,0.03,0.06,146.44,-96.75,32.75,-9.39,-2.81,0.73,-0.71,0.01,0.67,0.24,574439.0,8699.0,W,-2.826940109,-0.579355643,2.285268276,2.81407995,2.81719904,-0.917919653,0.0,0.0,0.0,-0.0009756097560975402,0.0,-0.0026829268292682925
81,-0.06,0.03,0.06,146.44,-96.75,32.75,-9.43,-2.81,0.62,-0.71,0.01,0.67,0.24,574480.0,8740.0,W,2.799012826,-1.104622147,1.848920163,2.899252015,2.911724763,-1.078032232,0.0,0.0,0.0,0.0009302325581395151,-0.0009302325581395357,-0.0009302325581395357
82,-0.06,0.03,0.06,146.44,-96.75,32.75,-9.39,-2.85,0.58,-0.71,0.01,0.67,0.24,574523.0,8783.0,W,2.156688781,-1.554362813,1.430329342,3.121586276,3.041474946,-1.077433581,0.0,0.0,0.0,-0.0029999999999999805,-0.0010000000000000009,-0.003749999999999999
83,-0.06,0.03,0.06,146.44,-96.75,32.75,-9.51,-2.89,0.43,-0.71,0.01,0.67,0.24,574563.0,8823.0,W,1.584774898,-1.973218886,1.008431237,-2.940773869,-3.098597831,-0.342970371,-0.0004878048780487806,-0.005853658536585366,0.009268292682926829,0.0,0.0,0.0
84,-0.08,-0.21,0.44,146.44,-96.75,32.75,-9.51,-2.89,0.43,-0.71,0.01,0.67,0.24,574604.0,8864.0,W,1.073519247,-2.376819812,0.580435772,-2.924892646,-2.919168398,-0.023854309,0.0,0.0,0.0,-0.0073809523809523925,-0.003571428571428569,-0.005476190476190476
85,-0.08,-0.21,0.44,146.44,-96.75,32.75,-9.82,-3.04,0.2,-0.71,0.01,0.67,0.24,574646.0,8906.0,W,0.603453401,-2.770399043,0.145926846,-3.069450686,-2.7628827,-0.259163358,0.010731707317073172,-0.02634146341463415,0.037317073170731706,0.0,0.0,0.0
