,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,DirecFTion,SensorFTime,FTime,Label
180,-0.08,-0.04,0.11,102.44,-121.56,23.25,-9.39,-3.08,0.16,-0.71,0.01,0.67,0.24,573234,7494,FW
181,-0.08,-0.04,0.11,102.44,-121.56,23.25,-9.47,-3.19,0.12,-0.71,0.01,0.67,0.24,573277,7537,FW
182,-0.08,-0.04,0.11,102.44,-121.56,23.25,-9.93,-3.19,-0.15,-0.71,0.01,0.67,0.24,573319,7579,FW
183,-0.08,-0.04,0.11,99.5,-125.19,19.13,-9.93,-3.19,-0.15,-0.71,0.01,0.67,0.24,573361,7621,FW
184,-0.08,-0.04,0.11,99.5,-125.19,19.13,-13.57,-4.95,0.7,-0.71,0.01,0.67,0.24,573404,7664,FW
185,0.16,-2.68,6,99.5,-125.19,19.13,-13.57,-4.95,0.7,-0.71,0.01,0.67,0.24,573447,7707,FW
186,0.16,-2.68,6,99.5,-125.19,19.13,-8.74,-15.14,-5.78,-0.71,0.01,0.67,0.24,573488,7748,FW
187,0.16,-2.68,6,99.5,-125.19,19.13,-6.68,-8.67,-0.68,-0.71,0.01,0.67,0.24,573530,7790,FW
188,0.16,-2.68,6,99.5,-125.19,19.13,-3.57,-8.32,-2.14,-0.71,0.01,0.67,0.24,573572,7832,FW
189,0.16,-2.68,6,99.5,-125.19,19.13,-5.6,-5.64,-2.02,-0.71,0.01,0.67,0.24,573612,7872,FW
190,0.85,1.3,-3.48,99.5,-125.19,19.13,-5.6,-5.64,-2.02,-0.71,0.01,0.67,0.24,573655,7915,FW
191,0.5,1.11,-3.55,99.5,-125.19,19.13,-5.6,-5.64,-2.02,-0.71,0.01,0.67,0.24,573696,7956,FW
192,0.5,1.11,-3.55,99.5,-125.19,19.13,-14.76,1.14,0.89,-0.71,0.01,0.67,0.24,573737,7997,FW
193,0.5,1.11,-3.55,99.5,-125.19,19.13,-14.26,1.79,1.5,-0.71,0.01,0.67,0.24,573778,8038,FW
194,0.5,1.11,-3.55,99.5,-125.19,19.13,-14.14,1.75,4.56,-0.71,0.01,0.67,0.24,573820,8080,FW
195,0.5,1.11,-3.55,99.5,-125.19,19.13,-12.69,2.55,4.79,-0.71,0.01,0.67,0.24,573859,8119,FW
196,0.5,1.11,-3.55,99.5,-125.19,19.13,-11.16,3.36,3.8,-0.71,0.01,0.67,0.24,573902,8162,FW
197,1.2,-1.2,1.26,99.5,-125.19,19.13,-11.16,3.36,3.8,-0.71,0.01,0.67,0.24,573944,8204,FW
198,1.2,-1.2,1.26,99.5,-125.19,19.13,-11.43,-1.05,6.59,-0.71,0.01,0.67,0.24,573984,8244,FW
199,1.2,-1.2,1.26,99.5,-125.19,19.13,-12.84,-5.18,-0.61,-0.71,0.01,0.67,0.24,574026,8286,FW
200,1.2,-1.2,1.26,99.5,-125.19,19.13,-11.08,-2.81,2.15,-0.71,0.01,0.67,0.24,574067,8327,FW
201,0.53,-0.22,0.27,99.5,-125.19,19.13,-11.08,-2.81,2.15,-0.71,0.01,0.67,0.24,574108,8368,FW
202,0.53,-0.22,0.27,99.5,-125.19,19.13,-9.59,-3.04,1.19,-0.71,0.01,0.67,0.24,574151,8411,FW
203,0.15,-0.16,0.2,99.5,-125.19,19.13,-9.59,-3.04,1.19,-0.71,0.01,0.67,0.24,574193,8453,FW
204,0.15,-0.16,0.2,99.5,-125.19,19.13,-9.24,-3.04,0.85,-0.71,0.01,0.67,0.24,574234,8494,FW
205,0.15,-0.16,0.2,99.5,-125.19,19.13,-9.36,-3.04,0.54,-0.71,0.01,0.67,0.24,574276,8536,FW
